"Name","Alerts","WWN","Node Affinity","Logical Used","Provisioned","Host Mappings","Storage Protocol","Protection Policy","Performance Policy","Volume Group"
"PST1_Vol_AMDEPYC7702-002","","naa.68ccf09800660908750c7434d382b200","System select Node B","11.3 TB","20.0 TB","1","SCSI","","Medium","Pst1VolAMDEPYC7702Group"
"PST1_Vol_AMDEPYC7702-001","","naa.68ccf0980097f8766499d825ecd99c09","System select Node B","10.5 TB","20.0 TB","1","SCSI","","Medium","Pst1VolAMDEPYC7702Group"
"PST1_Vol_Gold6326-002","","naa.68ccf09800c2ffd88a7aaf1ecd011339","System select Node B","8.1 TB","15.0 TB","1","SCSI","","Medium","Pst1VolGold6326Group"
"PST1_Vol_AMDEPYC7702-003","","naa.68ccf09800dab0fc3410f0b4c07ed203","System select Node A","7.3 TB","20.0 TB","1","SCSI","","Medium","Pst1VolAMDEPYC7702Group"
"PST1_Vol_Gold6326-004","","naa.68ccf09800773af16ff3e7c831ede997","System select Node A","6.1 TB","15.0 TB","1","SCSI","","Medium","Pst1VolGold6326Group"
"PST1_Vol_Gold6326-005","","naa.68ccf09800f1393b1276c73517a9fc03","System select Node B","5.5 TB","15.0 TB","1","SCSI","","Medium","Pst1VolGold6326Group"
"PST1_Vol_Silver4210-001","","naa.68ccf09800be0eda33a0e61d1f0ced84","System select Node B","4.0 TB","10.0 TB","1","SCSI","","Medium","Pst1VolSilver4210Group"
"PST1_Vol_Gold6326-003","","naa.68ccf09800b04b2a8e4fe58d595f8c18","System select Node A","3.4 TB","15.0 TB","1","SCSI","","Medium","Pst1VolGold6326Group"
"PST1_Vol_Gold6326-001","","naa.68ccf098004ffdc2d714c74b01f0f3d8","System select Node A","2.5 TB","15.0 TB","1","SCSI","","Medium","Pst1VolGold6326Group"
"MESDB_DG01","","naa.68ccf0980092914e788ef89ef2c54893","System select at attach","799.8 GB","2.0 TB","0","None","","Medium",""
"RAC_FRA02","","naa.68ccf0980019b352da8006afb96c2e57","System select at attach","600.0 GB","600.0 GB","0","None","","Medium",""
"RAC_FRA01","","naa.68ccf098002f6457d39e21041574bbf0","System select at attach","600.0 GB","600.0 GB","0","None","","Medium",""
"RAC_FRA03","","naa.68ccf09800160357043243edb541793d","System select at attach","599.8 GB","600.0 GB","0","None","","Medium",""
"RAC_FRA04","","naa.68ccf09800cab98f2d72420e42a3ea65","System select at attach","599.5 GB","600.0 GB","0","None","","Medium",""
"RAC_FRA05","","naa.68ccf098006e53cd6a433598f4d77edb","System select at attach","599.5 GB","600.0 GB","0","None","","Medium",""
"PST1_CIM_DATA-001","","naa.68ccf0980046325e282ec0d6be430404","System select Node A","499.9 GB","500.0 GB","1","SCSI","","Medium","Pst1CimRacVolGroup"
"PST1_CIM_DATA-002","","naa.68ccf098000464aeb8a74fe9c55ea54e","System select Node B","499.9 GB","500.0 GB","1","SCSI","","Medium","Pst1CimRacVolGroup"
"RAC_DATA03","","naa.68ccf09800491d9e9b34cc4b72e2aa34","System select at attach","481.6 GB","500.0 GB","0","None","","Medium",""
"RAC_DATA06","","naa.68ccf0980052c30a084cad55bf15713a","System select at attach","481.6 GB","500.0 GB","0","None","","Medium",""
"RAC_DATA02","","naa.68ccf09800cf391fe1cad1888275c731","System select at attach","481.6 GB","500.0 GB","0","None","","Medium",""
"RAC_DATA09","","naa.68ccf09800a748fda400473a00e41baa","System select at attach","481.6 GB","500.0 GB","0","None","","Medium",""
"RAC_DATA07","","naa.68ccf0980010a0efb2fa921574d76671","System select at attach","481.6 GB","500.0 GB","0","None","","Medium",""
"RAC_DATA05","","naa.68ccf0980043464455b98d89d49d0c68","System select at attach","481.6 GB","500.0 GB","0","None","","Medium",""
"RAC_DATA04","","naa.68ccf0980078c41c277e5c5b0dee585e","System select at attach","481.6 GB","500.0 GB","0","None","","Medium",""
"RAC_DATA08","","naa.68ccf0980033b797ac0293a200f1acd5","System select at attach","481.6 GB","500.0 GB","0","None","","Medium",""
"RAC_DATA13","","naa.68ccf098004f280e80abb5ec4fd76a27","System select at attach","481.6 GB","500.0 GB","0","None","","Medium",""
"RAC_DATA12","","naa.68ccf09800552a04778ce156738ef824","System select at attach","481.6 GB","500.0 GB","0","None","","Medium",""
"RAC_DATA11","","naa.68ccf0980074384396cb3b81b733ae42","System select at attach","481.6 GB","500.0 GB","0","None","","Medium",""
"RAC_DATA14","","naa.68ccf098004fa7ea72bc684140b16787","System select at attach","481.6 GB","500.0 GB","0","None","","Medium",""
"RAC_DATA10","","naa.68ccf09800310928013d43e5b1dd1411","System select at attach","481.6 GB","500.0 GB","0","None","","Medium",""
"RAC_DATA15","","naa.68ccf098006222198f48aba3e82776bf","System select at attach","481.6 GB","500.0 GB","0","None","","Medium",""
"RAC_DATA01","","naa.68ccf098002334770460a301c5640125","System select at attach","481.6 GB","500.0 GB","0","None","","Medium",""
"RAC_DATA16","","naa.68ccf09800a28d26b8ae700165d09885","System select at attach","481.5 GB","500.0 GB","0","None","","Medium",""
"RAC_DATA20","","naa.68ccf09800c5d1c82f023b5ff8c8ce9f","System select at attach","481.4 GB","500.0 GB","0","None","","Medium",""
"RAC_DATA18","","naa.68ccf098003e3fa670857d29d7429dbb","System select at attach","481.4 GB","500.0 GB","0","None","","Medium",""
"RAC_DATA19","","naa.68ccf09800a0aabcc8197881d72e9633","System select at attach","481.4 GB","500.0 GB","0","None","","Medium",""
"RAC_DATA17","","naa.68ccf09800ceace16a320a50c6d5fb60","System select at attach","481.4 GB","500.0 GB","0","None","","Medium",""
"PST1_MES_DATA-022","","naa.68ccf098006e84ba1d9dde6d7569b947","System select Node A","474.4 GB","500.0 GB","1","SCSI","","Medium","Pst1MesRacVolGroup"
"PST1_MES_DATA-010","","naa.68ccf09800741ede1f7aee3277ce9b3f","System select Node A","474.4 GB","500.0 GB","1","SCSI","","Medium","Pst1MesRacVolGroup"
"PST1_MES_DATA-004","","naa.68ccf09800e094451b894e0df08e9b16","System select Node A","474.4 GB","500.0 GB","1","SCSI","","Medium","Pst1MesRacVolGroup"
"PST1_MES_DATA-027","","naa.68ccf09800259d3eee912644026197c8","System select Node A","474.4 GB","500.0 GB","1","SCSI","","Medium","Pst1MesRacVolGroup"
"PST1_MES_DATA-014","","naa.68ccf09800e58b210112380dd05dc117","System select Node A","474.4 GB","500.0 GB","1","SCSI","","Medium","Pst1MesRacVolGroup"
