"Name","Alerts","WWN","NSID","NGUID","Logical Used","Provisioned","Host Mappings","Storage Protocol","Protection Policy","Performance Policy","Volume Group"
"PST2_MetroNode-meta-001","","naa.68ccf098007a247b0ae36085bdbeee63","2","nguid.7a247b0ae36085bd8ccf096800beee63","452.1 MB","80.0 GB","1","SCSI","","Medium",""
"PST2_MetroNode-meta-002","","naa.68ccf09800707e0ef7aa41aa65fb9914","3","nguid.707e0ef7aa41aa658ccf096800fb9914","80.0 GB","80.0 GB","1","SCSI","","Medium",""
"PST2_QMS_DATA-001","","naa.68ccf098000465ce1db14092cb423d44","4","nguid.0465ce1db14092cb8ccf096800423d44","171.8 GB","500.0 GB","1","SCSI","","Medium","Pst2QmsRacVolGroup"
"PST2_QMS_DATA-002","","naa.68ccf09800f86097f3d461df8d23eff6","5","nguid.f86097f3d461df8d8ccf09680023eff6","171.8 GB","500.0 GB","1","SCSI","","Medium","Pst2QmsRacVolGroup"
"PST2_QMS_FRA-001","","naa.68ccf0980066b2d79094e7e6ac2583f1","6","nguid.66b2d79094e7e6ac8ccf0968002583f1","11.6 GB","600.0 GB","1","SCSI","","Medium","Pst2QmsRacVolGroup"
"PST2_QMS_OCR-003","","naa.68ccf098008645bfd830d670c2bfcc50","7","nguid.8645bfd830d670c28ccf096800bfcc50","104.4 MB","5.0 GB","1","SCSI","","Medium","Pst2QmsRacVolGroup"
"PST2_QMS_OCR-002","","naa.68ccf098009c95f17d384577b16b6e1c","8","nguid.9c95f17d384577b18ccf0968006b6e1c","105.3 MB","5.0 GB","1","SCSI","","Medium","Pst2QmsRacVolGroup"
"PST2_QMS_OCR-001","","naa.68ccf0980047760950e90ca819c6cc32","9","nguid.47760950e90ca8198ccf096800c6cc32","106.5 MB","5.0 GB","1","SCSI","","Medium","Pst2QmsRacVolGroup"
"PST2_CIM_DATA-002","","naa.68ccf09800d90abbc8e3d6af34df544a","10","nguid.d90abbc8e3d6af348ccf096800df544a","499.9 GB","500.0 GB","1","SCSI","","Medium","Pst2CimRacVolGroup"
"PST2_CIM_DATA-001","","naa.68ccf09800e68914804a86d4fbfabd4b","11","nguid.e68914804a86d4fb8ccf096800fabd4b","499.9 GB","500.0 GB","1","SCSI","","Medium","Pst2CimRacVolGroup"
"PST2_CIM_FRA-001","","naa.68ccf098007cc60bd9940d5f267b7570","12","nguid.7cc60bd9940d5f268ccf0968007b7570","107.6 GB","600.0 GB","1","SCSI","","Medium","Pst2CimRacVolGroup"
"PST2_CIM_OCR-001","","naa.68ccf098004de6c8e4ee35cb49ac3f0b","13","nguid.4de6c8e4ee35cb498ccf096800ac3f0b","189.6 MB","5.0 GB","1","SCSI","","Medium","Pst2CimRacVolGroup"
"PST2_CIM_OCR-003","","naa.68ccf098005bbb9c353fc99aeb996564","14","nguid.5bbb9c353fc99aeb8ccf096800996564","191.9 MB","5.0 GB","1","SCSI","","Medium","Pst2CimRacVolGroup"
"PST2_CIM_OCR-002","","naa.68ccf098002ce31c3e10ffa511dd7546","15","nguid.2ce31c3e10ffa5118ccf096800dd7546","191.9 MB","5.0 GB","1","SCSI","","Medium","Pst2CimRacVolGroup"
"PST2_MES_DATA-003","","naa.68ccf09800b85dee77c19934e68a7710","16","nguid.b85dee77c19934e68ccf0968008a7710","474.4 GB","500.0 GB","1","SCSI","","Medium","Pst2MesRacVolGroup"
"PST2_MES_DATA-001","","naa.68ccf09800778fcbca3215ee541051d0","17","nguid.778fcbca3215ee548ccf0968001051d0","474.4 GB","500.0 GB","1","SCSI","","Medium","Pst2MesRacVolGroup"
"PST2_MES_DATA-005","","naa.68ccf098005fcad921bcce638784abfa","18","nguid.5fcad921bcce63878ccf09680084abfa","474.4 GB","500.0 GB","1","SCSI","","Medium","Pst2MesRacVolGroup"
"PST2_MES_DATA-004","","naa.68ccf0980093f345f4c6b594b504a341","19","nguid.93f345f4c6b594b58ccf09680004a341","474.4 GB","500.0 GB","1","SCSI","","Medium","Pst2MesRacVolGroup"
"PST2_MES_DATA-002","","naa.68ccf09800dc00c929bcd39422a411de","20","nguid.dc00c929bcd394228ccf096800a411de","474.4 GB","500.0 GB","1","SCSI","","Medium","Pst2MesRacVolGroup"
"PST2_MES_DATA-007","","naa.68ccf09800488ed197f0bea4bbd5c4b7","21","nguid.488ed197f0bea4bb8ccf096800d5c4b7","474.4 GB","500.0 GB","1","SCSI","","Medium","Pst2MesRacVolGroup"
"PST2_MES_DATA-006","","naa.68ccf098004f8e5499874183c5727e86","22","nguid.4f8e5499874183c58ccf096800727e86","474.4 GB","500.0 GB","1","SCSI","","Medium","Pst2MesRacVolGroup"
"PST2_MES_DATA-008","","naa.68ccf0980085044b262f25a31077762f","23","nguid.85044b262f25a3108ccf09680077762f","474.4 GB","500.0 GB","1","SCSI","","Medium","Pst2MesRacVolGroup"
"PST2_MES_DATA-010","","naa.68ccf098009cdd5f901671bd62c5f0f3","24","nguid.9cdd5f901671bd628ccf096800c5f0f3","474.4 GB","500.0 GB","1","SCSI","","Medium","Pst2MesRacVolGroup"
"PST2_MES_DATA-009","","naa.68ccf098005f7e902cdea5d11c205c5e","25","nguid.5f7e902cdea5d11c8ccf096800205c5e","474.3 GB","500.0 GB","1","SCSI","","Medium","Pst2MesRacVolGroup"
"PST2_MES_DATA-015","","naa.68ccf09800f5d4dc348ae5c1839649f9","26","nguid.f5d4dc348ae5c1838ccf0968009649f9","474.4 GB","500.0 GB","1","SCSI","","Medium","Pst2MesRacVolGroup"
"PST2_MES_DATA-011","","naa.68ccf098000b09d6453d34d1f8fa4561","27","nguid.0b09d6453d34d1f88ccf096800fa4561","474.4 GB","500.0 GB","1","SCSI","","Medium","Pst2MesRacVolGroup"
"PST2_MES_DATA-014","","naa.68ccf09800821406cd0086e129a0b8c8","28","nguid.821406cd0086e1298ccf096800a0b8c8","474.4 GB","500.0 GB","1","SCSI","","Medium","Pst2MesRacVolGroup"
"PST2_MES_DATA-012","","naa.68ccf098008c8da71f4a6fe2e61ea39d","29","nguid.8c8da71f4a6fe2e68ccf0968001ea39d","474.4 GB","500.0 GB","1","SCSI","","Medium","Pst2MesRacVolGroup"
"PST2_MES_DATA-013","","naa.68ccf09800c27db63bede041b6cdbb30","30","nguid.c27db63bede041b68ccf096800cdbb30","474.4 GB","500.0 GB","1","SCSI","","Medium","Pst2MesRacVolGroup"
"PST2_MES_DATA-019","","naa.68ccf0980001d2f53e43dcd67df15ac8","31","nguid.01d2f53e43dcd67d8ccf096800f15ac8","474.4 GB","500.0 GB","1","SCSI","","Medium","Pst2MesRacVolGroup"
"PST2_MES_DATA-020","","naa.68ccf098003cb16df95aad87271d3c4b","32","nguid.3cb16df95aad87278ccf0968001d3c4b","474.4 GB","500.0 GB","1","SCSI","","Medium","Pst2MesRacVolGroup"
"PST2_MES_DATA-017","","naa.68ccf09800ddd1c9feb7727b2959199f","33","nguid.ddd1c9feb7727b298ccf09680059199f","474.4 GB","500.0 GB","1","SCSI","","Medium","Pst2MesRacVolGroup"
"PST2_MES_DATA-016","","naa.68ccf098007672715495b8d5bbb1f8dc","34","nguid.7672715495b8d5bb8ccf096800b1f8dc","474.4 GB","500.0 GB","1","SCSI","","Medium","Pst2MesRacVolGroup"
"PST2_MES_DATA-018","","naa.68ccf0980048ae694f947ed5be1d6d18","35","nguid.48ae694f947ed5be8ccf0968001d6d18","474.3 GB","500.0 GB","1","SCSI","","Medium","Pst2MesRacVolGroup"
"PST2_MES_DATA-022","","naa.68ccf098002d1ddc220e02a7773f8453","36","nguid.2d1ddc220e02a7778ccf0968003f8453","474.4 GB","500.0 GB","1","SCSI","","Medium","Pst2MesRacVolGroup"
"PST2_MES_DATA-021","","naa.68ccf09800774a553b2a11372baa2a94","37","nguid.774a553b2a11372b8ccf096800aa2a94","474.3 GB","500.0 GB","1","SCSI","","Medium","Pst2MesRacVolGroup"
"PST2_MES_DATA-024","","naa.68ccf098001463b5027e90cf90b69fbf","38","nguid.1463b5027e90cf908ccf096800b69fbf","474.4 GB","500.0 GB","1","SCSI","","Medium","Pst2MesRacVolGroup"
